Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting
Public Constructor,"org.apache.activemq.web.controller.SendMessage.SendMessage",3,,,1,1,1,,,0
Protected Method,"org.apache.activemq.web.controller.SendMessage.appendHeaders",36,,,7,1,11,,,5
Protected Method,"org.apache.activemq.web.controller.SendMessage.createMessage",6,,,1,1,2,,,1
Public Method,"org.apache.activemq.web.controller.SendMessage.getJMSCorrelationID",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.getJMSMessageCount",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.getJMSMessageCountHeader",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.getJMSPriority",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.getJMSReplyTo",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.getJMSText",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.getJMSTimeToLive",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.getJMSType",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.handleRequest",11,,,3,3,3,,,2
Public Method,"org.apache.activemq.web.controller.SendMessage.isJMSPersistent",3,,,1,1,1,,,0
Protected Method,"org.apache.activemq.web.controller.SendMessage.isValidPropertyName",3,,,1,1,2,,,0
Protected Method,"org.apache.activemq.web.controller.SendMessage.sendMessages",13,,,2,1,4,,,2
Public Method,"org.apache.activemq.web.controller.SendMessage.setJMSCorrelationID",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.setJMSMessageCount",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.setJMSMessageCountHeader",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.setJMSPersistent",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.setJMSPriority",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.setJMSReplyTo",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.setJMSText",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.setJMSTimeToLive",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.SendMessage.setJMSType",3,,,1,1,1,,,0
Package,"org.apache.activemq.web.handler",36,1,,14,1,6,1,6,3
Public Class,"org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping",29,,,7,1,6,1,6,3
Protected Method,"org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping.getHandlerInternal",26,,,5,1,6,,,3
Package,"org.apache.nifi",0,0,,0,0,0,0,0,0
Package,"org.apache.nifi.processors",0,0,,0,0,0,0,0,0
Package,"org.apache.nifi.processors.standard",288,2,,147,25,39,5,8,4
Public Class,"org.apache.nifi.processors.standard.SplitXml",222,,,81,7,10,1,3,2
Private Static Class,"org.apache.nifi.processors.standard.SplitXml.XmlSplitterSaxParser",118,,,41,17,28,5,8,4
Public Constructor,"org.apache.nifi.processors.standard.SplitXml.XmlSplitterSaxParser.XmlSplitterSaxParser",4,,,1,1,1,,,0
Public Method,"org.apache.nifi.processors.standard.SplitXml.XmlSplitterSaxParser.characters",28,,,2,1,8,,,2
Public Method,"org.apache.nifi.processors.standard.SplitXml.XmlSplitterSaxParser.endDocument",2,,,1,1,1,,,0
Public Method,"org.apache.nifi.processors.standard.SplitXml.XmlSplitterSaxParser.endElement",11,,,3,1,3,,,1
Public Method,"org.apache.nifi.processors.standard.SplitXml.XmlSplitterSaxParser.endPrefixMapping",3,,,1,1,1,,,0
Public Method,"org.apache.nifi.processors.standard.SplitXml.XmlSplitterSaxParser.ignorableWhitespace",2,,,1,1,1,,,0
Private Method,"org.apache.nifi.processors.standard.SplitXml.XmlSplitterSaxParser.prefixToNamespace",9,,,2,1,2,,,1
Public Method,"org.apache.nifi.processors.standard.SplitXml.XmlSplitterSaxParser.processingInstruction",2,,,1,1,1,,,0
Public Method,"org.apache.nifi.processors.standard.SplitXml.XmlSplitterSaxParser.setDocumentLocator",2,,,1,1,1,,,0
Public Method,"org.apache.nifi.processors.standard.SplitXml.XmlSplitterSaxParser.skippedEntity",2,,,1,1,1,,,0
Public Method,"org.apache.nifi.processors.standard.SplitXml.XmlSplitterSaxParser.startDocument",2,,,1,1,1,,,0
Public Method,"org.apache.nifi.processors.standard.SplitXml.XmlSplitterSaxParser.startElement",28,,,6,5,6,,,4
Public Method,"org.apache.nifi.processors.standard.SplitXml.XmlSplitterSaxParser.startPrefixMapping",4,,,2,1,1,,,0
