Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.hasFormat",3,,,1,1,1,,,0
Public Static Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.hasXMLFormat",76,,,4,25,27,,,5
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.isEnabled",6,,,2,2,2,,,0
Private Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.readObject",7,,,2,1,1,,,0
Protected Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.readResolve",20,,,3,4,6,,,1
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.requiresCustomCodec",1,,,1,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.setXMLInputFactory",3,,,1,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.setXMLOutputFactory",3,,,1,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.setXMLTextElementName",3,,,1,1,1,,,0
Private Static Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.skipSpace",14,,,2,4,7,,,2
Private Static Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.tryMatch",13,,,2,4,4,,,2
Private Static Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.validXmlNameStartChar",9,,,3,1,2,,,1
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.version",3,,,1,1,1,,,0
Private Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.writeObject",5,,,1,1,1,,,0
Package,"com.opensymphony",0,0,,0,0,0,0,0,0
Package,"com.opensymphony.xwork2",14,1,,13,0,0,0,0,0
Public Class,"com.opensymphony.xwork2.XWorkConstants",13,,,12,0,0,0,0,0
Package,"com.opensymphony.xwork2.config",0,0,,0,0,0,0,0,0
Package,"com.opensymphony.xwork2.config.entities",243,2,,63,47,73,10,17,1
Public Class,"com.opensymphony.xwork2.config.entities.ActionConfig",237,,,57,24,45,10,17,1
Protected Constructor,"com.opensymphony.xwork2.config.entities.ActionConfig.ActionConfig",10,,,1,1,1,,,0
Protected Constructor,"com.opensymphony.xwork2.config.entities.ActionConfig.ActionConfig",11,,,1,1,1,,,0
Public Static Class,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder",111,,,27,23,28,1,3,1
Public Constructor,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.Builder",3,,,1,1,1,,,0
Public Constructor,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.Builder",3,,,1,1,1,,,0
Public Method,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.addAllowedMethod",4,,,1,1,1,,,0
Public Method,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.addAllowedMethod",7,,,1,1,2,,,1
Public Method,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.addExceptionMapping",4,,,1,1,1,,,0
Public Method,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.addExceptionMappings",4,,,1,1,1,,,0
Public Method,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.addInterceptor",4,,,1,1,1,,,0
Public Method,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.addInterceptors",4,,,1,1,1,,,0
Public Method,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.addParam",4,,,1,1,1,,,0
Public Method,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.addParams",4,,,1,1,1,,,0
Public Method,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.addResultConfig",4,,,1,1,1,,,0
Public Method,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.addResultConfigs",6,,,1,1,2,,,1
Public Method,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.addResultConfigs",4,,,1,1,1,,,0
Public Method,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.build",6,,,2,1,1,,,0
Public Method,"com.opensymphony.xwork2.config.entities.ActionConfig.Builder.className",4,,,1,1,1,,,0
