Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting
Anonymous Class,"org.apache.solr.handler.admin.ConfigSetsHandler.ConfigSetOperation.(Anon_1)",6,,,4,1,1,1,1,0
Method,"org.apache.solr.handler.admin.ConfigSetsHandler.ConfigSetOperation.(Anon_1).call",4,,,2,1,1,,,0
Anonymous Class,"org.apache.solr.handler.admin.ConfigSetsHandler.ConfigSetOperation.(Anon_2)",5,,,3,1,1,1,1,0
Method,"org.apache.solr.handler.admin.ConfigSetsHandler.ConfigSetOperation.(Anon_2).call",3,,,1,1,1,,,0
Anonymous Class,"org.apache.solr.handler.admin.ConfigSetsHandler.ConfigSetOperation.(Anon_3)",12,,,8,1,1,1,1,0
Method,"org.apache.solr.handler.admin.ConfigSetsHandler.ConfigSetOperation.(Anon_3).call",10,,,6,1,1,,,0
Constructor,"org.apache.solr.handler.admin.ConfigSetsHandler.ConfigSetOperation.ConfigSetOperation",3,,,1,1,1,,,0
Abstract Method,"org.apache.solr.handler.admin.ConfigSetsHandler.ConfigSetOperation.call",1,,,1,0,0,,,0
Public Static Method,"org.apache.solr.handler.admin.ConfigSetsHandler.ConfigSetOperation.get",6,,,1,3,3,,,2
Public Method,"org.apache.solr.handler.admin.ConfigSetsHandler.ConfigSetOperation.valueOf",0,,,0,1,1,,,0
Public Method,"org.apache.solr.handler.admin.ConfigSetsHandler.ConfigSetOperation.values",0,,,0,1,1,,,0
Public Constructor,"org.apache.solr.handler.admin.ConfigSetsHandler.ConfigSetsHandler",3,,,1,1,1,,,0
Private Static Method,"org.apache.solr.handler.admin.ConfigSetsHandler.copyPropertiesWithPrefix",10,,,3,1,3,,,2
Private Method,"org.apache.solr.handler.admin.ConfigSetsHandler.createZkNodeIfNotExistsAndSetData",8,,,2,1,2,,,1
Public Method,"org.apache.solr.handler.admin.ConfigSetsHandler.getApis",3,,,1,1,1,,,0
Public Method,"org.apache.solr.handler.admin.ConfigSetsHandler.getCategory",3,,,1,1,1,,,0
Public Method,"org.apache.solr.handler.admin.ConfigSetsHandler.getDescription",3,,,1,1,1,,,0
Public Method,"org.apache.solr.handler.admin.ConfigSetsHandler.getPermissionName",12,,,3,4,6,,,2
Method,"org.apache.solr.handler.admin.ConfigSetsHandler.getTrusted",9,,,2,1,3,,,1
Private Method,"org.apache.solr.handler.admin.ConfigSetsHandler.handleConfigUploadRequest",34,,,10,1,6,,,2
Public Method,"org.apache.solr.handler.admin.ConfigSetsHandler.handleRequestBody",25,,,4,3,6,,,2
Private Method,"org.apache.solr.handler.admin.ConfigSetsHandler.handleResponse",30,,,8,1,7,,,2
Method,"org.apache.solr.handler.admin.ConfigSetsHandler.invokeAction",6,,,3,1,1,,,0
Public Method,"org.apache.solr.handler.admin.ConfigSetsHandler.registerV2",3,,,1,1,1,,,0
Protected Method,"org.apache.solr.handler.admin.ConfigSetsHandler.sendToZk",8,,,3,1,2,,,1
Package,"org.apache.solr.servlet",701,16,,249,56,109,8,14,3
Class,"org.apache.solr.servlet.FileItemContentStream",16,,,5,2,2,1,1,0
Public Constructor,"org.apache.solr.servlet.FileItemContentStream.FileItemContentStream",8,,,1,1,1,,,0
Public Method,"org.apache.solr.servlet.FileItemContentStream.getStream",3,,,1,1,1,,,0
Class,"org.apache.solr.servlet.FormDataRequestParser",66,,,18,6,15,3,9,2
Public Constructor,"org.apache.solr.servlet.FormDataRequestParser.FormDataRequestParser",4,,,1,1,1,,,0
Private Method,"org.apache.solr.servlet.FormDataRequestParser.getParameterIncompatibilityException",8,,,1,1,1,,,0
Public Method,"org.apache.solr.servlet.FormDataRequestParser.isFormData",14,,,3,3,4,,,2
Public Method,"org.apache.solr.servlet.FormDataRequestParser.parseParamsAndFillStreams",35,,,10,1,9,,,2
Class,"org.apache.solr.servlet.HttpRequestContentStream",16,,,6,2,3,1,2,1
Public Constructor,"org.apache.solr.servlet.HttpRequestContentStream.HttpRequestContentStream",8,,,2,1,2,,,1
Public Method,"org.apache.solr.servlet.HttpRequestContentStream.getStream",3,,,1,1,1,,,0
Class,"org.apache.solr.servlet.MultipartRequestParser",34,,,12,2,5,1,4,2
Public Constructor,"org.apache.solr.servlet.MultipartRequestParser.MultipartRequestParser",4,,,1,1,1,,,0
Public Method,"org.apache.solr.servlet.MultipartRequestParser.parseParamsAndFillStreams",25,,,8,1,4,,,2
Class,"org.apache.solr.servlet.RawRequestParser",10,,,4,1,1,1,1,0
Public Method,"org.apache.solr.servlet.RawRequestParser.parseParamsAndFillStreams",6,,,2,1,1,,,0
Class,"org.apache.solr.servlet.SimpleRequestParser",9,,,4,1,1,1,1,0
Public Method,"org.apache.solr.servlet.SimpleRequestParser.parseParamsAndFillStreams",5,,,2,1,1,,,0
Interface,"org.apache.solr.servlet.SolrRequestParser",5,,,3,0,0,0,0,0
Public Abstract Method,"org.apache.solr.servlet.SolrRequestParser.parseParamsAndFillStreams",2,,,2,0,0,,,0
Public Class,"org.apache.solr.servlet.SolrRequestParserTest",226,,,68,9,20,1,4,2
Public Static Method,"org.apache.solr.servlet.SolrRequestParserTest.afterClass",3,,,1,1,1,,,0
Public Static Method,"org.apache.solr.servlet.SolrRequestParserTest.beforeClass",4,,,1,1,1,,,0
Public Method,"org.apache.solr.servlet.SolrRequestParserTest.testParameterIncompatibilityException1",20,,,3,1,2,,,1
Anonymous Class,"org.apache.solr.servlet.SolrRequestParserTest.testParameterIncompatibilityException1.(Anon_3)",2,,,0,1,1,1,1,0
Public Method,"org.apache.solr.servlet.SolrRequestParserTest.testParameterIncompatibilityException1.(Anon_3).read",1,,,0,1,1,,,0
Public Method,"org.apache.solr.servlet.SolrRequestParserTest.testParameterIncompatibilityException2",18,,,3,1,2,,,1
Public Method,"org.apache.solr.servlet.SolrRequestParserTest.testStandardFormdataUploadLimit",26,,,5,1,3,,,1
Anonymous Class,"org.apache.solr.servlet.SolrRequestParserTest.testStandardFormdataUploadLimit.(Anon_2)",3,,,0,1,1,1,1,0
Public Method,"org.apache.solr.servlet.SolrRequestParserTest.testStandardFormdataUploadLimit.(Anon_2).read",1,,,0,1,1,,,0
Public Method,"org.apache.solr.servlet.SolrRequestParserTest.testStandardParseParamsAndFillStreams",31,,,11,1,2,,,0
Anonymous Class,"org.apache.solr.servlet.SolrRequestParserTest.testStandardParseParamsAndFillStreams.(for_loop_4).(Anon_1)",3,,,0,1,1,1,1,0
Public Method,"org.apache.solr.servlet.SolrRequestParserTest.testStandardParseParamsAndFillStreams.(for_loop_4).(Anon_1).read",1,,,0,1,1,,,0
Public Method,"org.apache.solr.servlet.SolrRequestParserTest.testStreamBody",38,,,11,1,2,,,1
Public Method,"org.apache.solr.servlet.SolrRequestParserTest.testStreamURL",32,,,10,1,3,,,1
Public Method,"org.apache.solr.servlet.SolrRequestParserTest.testUrlParamParsing",42,,,12,1,4,,,2
Public Class,"org.apache.solr.servlet.SolrRequestParsers",225,,,57,22,48,8,14,3
Static Class,"org.apache.solr.servlet.SolrRequestParsers.ByteArrayOutputStream2",5,,,2,1,1,1,1,0
Method,"org.apache.solr.servlet.SolrRequestParsers.ByteArrayOutputStream2.buffer",3,,,1,1,1,,,0
Public Constructor,"org.apache.solr.servlet.SolrRequestParsers.SolrRequestParsers",18,,,2,1,2,,,1
Private Constructor,"org.apache.solr.servlet.SolrRequestParsers.SolrRequestParsers",5,,,1,1,1,,,0
Public Method,"org.apache.solr.servlet.SolrRequestParsers.buildRequestFrom",45,,,7,1,14,,,3
Anonymous Class,"org.apache.solr.servlet.SolrRequestParsers.buildRequestFrom.(Anon_1)",0,,,0,0,0,0,0,0
Private Static Method,"org.apache.solr.servlet.SolrRequestParsers.decodeChars",10,,,1,1,2,,,1
Private Static Method,"org.apache.solr.servlet.SolrRequestParsers.digit16",15,,,1,4,8,,,1
