@relation software_metrics_vpm

@attribute Kind string
@attribute Name string
@attribute CountLineCode numeric
@attribute CountDeclClass numeric
@attribute CountDeclFunction numeric
@attribute CountLineCodeDecl numeric
@attribute SumEssential numeric
@attribute SumCyclomaticStrict numeric
@attribute MaxEssential numeric
@attribute MaxCyclomaticStrict numeric
@attribute MaxNesting numeric
@attribute class {pos,neg}

@data
File,"CloneTransformer.java",24,1,4,12,4,5,1,2,1,pos
File,"CloseDurableClientFunction.java",58,1,3,30,3,7,1,5,4,pos
File,"CloseDurableClientFunction.java",51,1,2,25,2,6,1,5,4,pos
File,"CloseDurableCqFunction.java",52,1,2,26,2,6,1,5,4,pos
File,"CloseDurableCqFunction.java",59,1,3,31,3,7,1,5,4,pos
File,"ClusterUtils.java",199,1,32,106,32,39,1,3,2,pos
File,"CodeFlow.java",664,3,44,88,91,216,17,25,3,pos
File,"CommandConnector.java",25,2,3,17,3,3,1,1,0,pos
File,"CommandLauncher.java",132,3,9,47,14,23,6,12,3,pos
File,"CommandResultAssert.java",141,1,19,55,21,29,3,6,2,pos
File,"CommandTestBase.java",152,5,14,73,14,14,1,1,0,pos
File,"Commandline.java",433,3,45,106,45,82,1,5,3,pos
File,"CommandlineTest.java",473,1,25,119,30,58,4,6,3,pos
File,"CommonLoginPolicy.java",64,1,5,29,13,14,4,5,2,pos
File,"CompareTool.java",1238,13,101,391,194,362,26,37,8,pos
File,"CompatibilityCacheFactory.java",230,2,32,94,32,50,1,10,3,pos
File,"Component.java",260,1,33,101,36,60,4,5,3,pos
File,"ComponentUtils.java",20,1,3,8,5,6,3,3,2,pos
File,"ComponentUtilsTest.java",60,2,11,37,11,11,1,1,0,pos
File,"CompoundOrdering_CustomFieldSerializer.java",27,1,3,16,3,5,1,2,1,pos
File,"Computer.java",934,11,127,377,143,211,7,7,3,pos
File,"Computer.java",944,11,127,382,143,215,7,7,3,pos
File,"ConfidentialStore.java",17,1,4,13,1,2,1,2,1,pos
File,"Config.java",200,1,48,86,50,54,3,4,2,pos
File,"ConfigHandler.java",284,1,9,98,15,34,3,13,3,pos
File,"ConfigKey.java",99,1,9,64,11,11,1,1,0,pos
File,"ConfigUtils.java",60,1,5,26,5,9,1,3,1,pos
File,"Configuration.java",1129,3,123,499,134,190,4,11,3,pos
File,"ConfigurationImpl.java",369,1,37,123,41,76,5,11,5,pos
File,"ConfigurationImpl.java",354,1,35,118,39,72,5,11,5,pos
