severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	tags	component	flows	organization	textRange	debt	key	hash	status
MINOR	2020-07-03T17:57:05+0200		245.0		java:S1148	Prova_Mining_Second_Part	10min	Use a logger to log this exception.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1632/78e853bcb32ea91b84a070b3d2dc03ab14bc6b23/DefaultStaticContentLoader.java		default-organization	{startLine=245.0, endLine=245.0, startOffset=18.0, endOffset=33.0}	10min	AXMVa5vdkLspzIj1dBJ-	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-03T17:57:05+0200		207.0		java:S1148	Prova_Mining_Second_Part	10min	Use a logger to log this exception.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1632/78e853bcb32ea91b84a070b3d2dc03ab14bc6b23/FilterDispatcher.java		default-organization	{startLine=207.0, endLine=207.0, startOffset=18.0, endOffset=33.0}	10min	AXMVa5vWkLspzIj1dBJ5	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-03T17:57:05+0200		210.0		java:S1148	Prova_Mining_Second_Part	10min	Use a logger to log this exception.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1632/78e853bcb32ea91b84a070b3d2dc03ab14bc6b23/FilterDispatcher.java		default-organization	{startLine=210.0, endLine=210.0, startOffset=18.0, endOffset=33.0}	10min	AXMVa5vWkLspzIj1dBJ6	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-03T17:57:05+0200		213.0		java:S1148	Prova_Mining_Second_Part	10min	Use a logger to log this exception.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1632/78e853bcb32ea91b84a070b3d2dc03ab14bc6b23/FilterDispatcher.java		default-organization	{startLine=213.0, endLine=213.0, startOffset=18.0, endOffset=33.0}	10min	AXMVa5vWkLspzIj1dBJ7	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-03T17:57:05+0200		54.0		java:S1148	Prova_Mining_Second_Part	10min	Use a logger to log this exception.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1632/78e853bcb32ea91b84a070b3d2dc03ab14bc6b23/InitOperations.java		default-organization	{startLine=54.0, endLine=54.0, startOffset=18.0, endOffset=33.0}	10min	AXMVa5vwkLspzIj1dBKC	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-03T17:57:05+0200		57.0		java:S1148	Prova_Mining_Second_Part	10min	Use a logger to log this exception.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1632/78e853bcb32ea91b84a070b3d2dc03ab14bc6b23/InitOperations.java		default-organization	{startLine=57.0, endLine=57.0, startOffset=18.0, endOffset=33.0}	10min	AXMVa5vwkLspzIj1dBKD	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-03T17:57:05+0200		60.0		java:S1148	Prova_Mining_Second_Part	10min	Use a logger to log this exception.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1632/78e853bcb32ea91b84a070b3d2dc03ab14bc6b23/InitOperations.java		default-organization	{startLine=60.0, endLine=60.0, startOffset=18.0, endOffset=33.0}	10min	AXMVa5vwkLspzIj1dBKE	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-03T17:57:05+0200		37.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""filterExecute""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1632/78e853bcb32ea91b84a070b3d2dc03ab14bc6b23/TwoFilterIntegrationTest.java		default-organization	{startLine=37.0, endLine=37.0, startOffset=24.0, endOffset=37.0}	5min	AXMVa5vokLspzIj1dBJ_	ba6baede782bc38cd688bbb60dafc59a	OPEN
MINOR	2020-07-03T17:57:05+0200		38.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""filterPrepare""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1632/78e853bcb32ea91b84a070b3d2dc03ab14bc6b23/TwoFilterIntegrationTest.java		default-organization	{startLine=38.0, endLine=38.0, startOffset=24.0, endOffset=37.0}	5min	AXMVa5vokLspzIj1dBKA	5db2f1f95c12e921eb2037defed8f4d3	OPEN
MINOR	2020-07-03T17:57:05+0200		39.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""failFilter""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1632/78e853bcb32ea91b84a070b3d2dc03ab14bc6b23/TwoFilterIntegrationTest.java		default-organization	{startLine=39.0, endLine=39.0, startOffset=11.0, endOffset=21.0}	5min	AXMVa5vokLspzIj1dBKB	77f5525df53b6c6d6e9b23bafd157673	OPEN
